Transaction Arrival Rate,Block Size,Orderers,Latency,Throughput,Latency_Pred,Throughput_Pred
20.0,545.0,3.0,1.15,19.3,1.138,19.299999999999997
20.0,550.0,3.0,1.14,19.2,1.142,19.259999999999998
20.0,555.0,3.0,1.14,19.3,1.142,19.259999999999998
20.0,560.0,3.0,1.15,19.3,1.142,19.259999999999998
20.0,565.0,3.0,1.14,19.2,1.14,19.240000000000002
20.0,570.0,3.0,1.14,19.3,1.14,19.259999999999998
20.0,575.0,3.0,1.14,19.2,1.14,19.240000000000002
20.0,580.0,3.0,1.14,19.3,1.14,19.240000000000002
20.0,585.0,3.0,1.13,19.2,1.138,19.240000000000002
20.0,590.0,3.0,1.14,19.2,1.138,19.240000000000002
20.0,595.0,3.0,1.14,19.3,1.1379999999999997,19.259999999999998
20.0,600.0,3.0,1.13,19.2,1.1379999999999997,19.259999999999998
20.0,605.0,3.0,1.14,19.3,1.1379999999999997,19.279999999999998
20.0,610.0,3.0,1.14,19.3,1.138,19.279999999999998
20.0,615.0,3.0,1.14,19.3,1.14,19.3
20.0,620.0,3.0,1.14,19.3,1.14,19.3
20.0,625.0,3.0,1.14,19.3,1.14,19.28
20.0,630.0,3.0,1.14,19.3,1.14,19.279999999999998
20.0,635.0,3.0,1.14,19.2,1.14,19.279999999999998
20.0,640.0,3.0,1.14,19.3,1.14,19.279999999999998
20.0,645.0,3.0,1.14,19.3,1.14,19.28
20.0,650.0,3.0,1.14,19.3,1.14,19.3
20.0,655.0,3.0,1.14,19.3,1.14,19.32
20.0,660.0,3.0,1.14,19.3,1.14,19.32
20.0,665.0,3.0,1.14,19.3,1.14,19.32
20.0,670.0,3.0,1.14,19.4,1.14,19.439999999999998
20.0,675.0,3.0,1.13,19.3,1.14,19.44
20.0,680.0,3.0,1.14,19.3,1.138,19.46
